Country,Code,Continent
Kazakhstan,KAZ,Asia
Kyrgyzstan,KGZ,Asia
Tajikistan,TJK,Asia
Turkmenistan,TKM,Asia
Uzbekistan,UZB,Asia
Brunei,BRN,Asia
Cambodia,KHM,Asia
East Timor,TLS,Asia
Indonesia,IDN,Asia
Laos,LAO,Asia
Malaysia,MYS,Asia
Myanmar,MMR,Asia
Philippines,PHL,Asia
Singapore,SGP,Asia
Thailand,THA,Asia
Vietnam,VNM,Asia
Turkey,TUR,Asia
Bahrain,BHR,Asia
Kuwait,KWT,Asia
Oman,OMN,Asia
Qatar,QAT,Asia
Saudi Arabia,SAU,Asia
United Arab Emirates,ARE,Asia
Yemen,YEM,Asia
Armenia,ARM,Asia
Azerbaijan,AZE,Asia
Georgia,GEO,Asia
Iraq,IRQ,Asia
Israel,ISR,Asia
Jordan,JOR,Asia
Lebanon,LBN,Asia
Palestine,PSE,Asia
Syria,SYR,Asia
Iran,IRN,Asia
Cyprus,CYP,Asia
China,CHN,Asia
Hong Kong,HKG,Asia
Macau,MAC,Asia
Japan,JPN,Asia
North Korea,PRK,Asia
Korea,KOR,Asia
Mongolia,MNG,Asia
Taiwan,TWN,Asia
Afghanistan,AFG,Asia
Bangladesh,BGD,Asia
Bhutan,BTN,Asia
India,IND,Asia
Maldives,MDV,Asia
Nepal,NPL,Asia
Pakistan,PAK,Asia
Sri Lanka,LKA,Asia
Argentina,ARG,South America
Bolivia,BOL,South America
Brazil,BRA,South America
Chile,CHL,South America
Colombia,COL,South America
Ecuador,ECU,South America
French Guyana,GUF,South America
Guyana,GUY,South America
Paraguay,PRY,South America
Peru,PER,South America
Suriname,SUR,South America
Uruguay,URY,South America
Venezuela,VEN,South America
Bermuda,BMU,North America
Canada,CAN,North America
Greenland,GRL,North America
USA,USA,North America
Mexico,MEX,North America
Belize,BLZ,North America
Costa Rica,CRI,North America
El Salvador,SLV,North America
Guatemala,GTM,North America
Honduras,HND,North America
Nicaragua,NIC,North America
Panama,PAN,North America
Antigua and Barbuda,ATG,North America
Aruba,ABW,North America
Bahamas,BHS,North America
Barbados,BRB,North America
British Virgin Islands,VGB,North America
US Virgin Islands,VIR,North America
Cayman Islands,CYM,North America
Cuba,CUB,North America
Curaçao,CUW,North America
Dominica,DMA,North America
Dominican Republic,DOM,North America
Grenada,GRD,North America
Haiti,HTI,North America
Jamaica,JAM,North America
Puerto Rico,PRI,North America
Saint Kitts and Nevis,KNA,North America
Saint Lucia,LCA,North America
Saint Vincent and the Grenadines,VCT,North America
Trinidad and Tobago,TTO,North America
Turks and Caicos Islands,TCA,North America
Burundi,BDI,Africa
Comoros,COM,Africa
Djibouti,DJI,Africa
Eritrea,ERI,Africa
Ethiopia,ETH,Africa
Kenya,KEN,Africa
Madagascar,MDG,Africa
Malawi,MWI,Africa
Mauritius,MUS,Africa
Mozambique,MOZ,Africa
Rwanda,RWA,Africa
Seychelles,SYC,Africa
Somalia,SOM,Africa
South Sudan,SSD,Africa
Tanzania,TZA,Africa
Uganda,UGA,Africa
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
Angola,AGO,Africa
Cameroon,CMR,Africa
Central African Republic,CAF,Africa
Chad,TCD,Africa
Congo DR,COD,Africa
Equatorial Guinea,GNQ,Africa
Gabon,GAB,Africa
Congo,COG,Africa
Sao Tome and Principe,STP,Africa
Algeria,DZA,Africa
Egypt,EGY,Africa
Libya,LBY,Africa
Morocco,MAR,Africa
Sudan,SDN,Africa
Tunisia,TUN,Africa
Western Sahara,ESH,Africa
Botswana,BWA,Africa
Eswatini,SWZ,Africa
Lesotho,LSO,Africa
Namibia,NAM,Africa
South Africa,ZAF,Africa
Benin,BEN,Africa
Burkina Faso,BFA,Africa
Cabo Verde,CPV,Africa
Côte d'Ivoire,CIV,Africa
Gambia,GMB,Africa
Ghana,GHA,Africa
Guinea,GIN,Africa
Guinea-Bissau,GNB,Africa
Liberia,LBR,Africa
Mali,MLI,Africa
Mauritania,MRT,Africa
Niger,NER,Africa
Nigeria,NGA,Africa
Senegal,SEN,Africa
Sierra Leone,SLE,Africa
Togo,TGO,Africa
Australia,AUS,Oceania
New Zealand,NZL,Oceania
Fiji,FJI,Oceania
New Caledonia,NCL,Oceania
Papua New Guinea,PNG,Oceania
Solomon Islands,SLB,Oceania
Vanuatu,VUT,Oceania
Micronesia,FSM,Oceania
Guam,GUM,Oceania
Kiribati,KIR,Oceania
Marshall Islands,MHL,Oceania
Nauru,NRU,Oceania
Northern Mariana Islands,MNP,Oceania
Palau,PLW,Oceania
American Samoa,ASM,Oceania
French Polynesia,PYF,Oceania
Samoa,WSM,Oceania
Tonga,TON,Oceania
Tuvalu,TUV,Oceania
Austria,AUT,Europe
Belgium,BEL,Europe
France,FRA,Europe
Germany,DEU,Europe
Liechtenstein,LIE,Europe
Luxembourg,LUX,Europe
Monaco,MCO,Europe
Netherlands,NLD,Europe
Switzerland,CHE,Europe
Albania,ALB,Europe
Andorra,AND,Europe
Bosnia and Herzegovina,BIH,Europe
Croatia,HRV,Europe
Kosovo,XKX,Europe
Gibraltar,GIB,Europe
Greece,GRC,Europe
Italy,ITA,Europe
North Macedonia,MKD,Europe
Malta,MLT,Europe
Montenegro,MNE,Europe
Portugal,PRT,Europe
San Marino,SMR,Europe
Serbia,SRB,Europe
Slovenia,SVN,Europe
Spain,ESP,Europe
Vatican City,VAT,Europe
Denmark,DNK,Europe
Estonia,EST,Europe
Faroe Islands,FRO,Europe
Finland,FIN,Europe
Iceland,ISL,Europe
Ireland,IRL,Europe
Isle of Man,IMN,Europe
Latvia,LVA,Europe
Lithuania,LTU,Europe
Norway,NOR,Europe
Sweden,SWE,Europe
United Kingdom,GBR,Europe
Belarus,BLR,Europe
Bulgaria,BGR,Europe
Czechia,CZE,Europe
Hungary,HUN,Europe
Poland,POL,Europe
Moldova,MDA,Europe
Romania,ROU,Europe
Russia,RUS,Europe
Slovakia,SVK,Europe
Ukraine,UKR,Europe
Antarctica,ATA,Antarctica