Index,Country,Code,Alpha3,Population
2701,Burundi,108,BDI,14221
2778,Comoros,174,COM,875
2855,Djibouti,262,DJI,1177
2932,Eritrea,232,ERI,3569
3009,Ethiopia,231,ETH,133765
3086,Kenya,404,KEN,56981
3163,Madagascar,450,MDG,32352
3240,Malawi,454,MWI,21934
3317,Mauritius,480,MUS,1270
3394,Mayotte,175,MYT,332
3471,Mozambique,508,MOZ,35134
3548,Réunion,638,REU,881
3625,Rwanda,646,RWA,14407
3702,Seychelles,690,SYC,132
3779,Somalia,706,SOM,19332
3856,South Sudan,728,SSD,12067
3933,Uganda,800,UGA,50698
4010,United Republic of Tanzania,834,TZA,69542
4087,Zambia,894,ZMB,21612
4164,Zimbabwe,716,ZWE,16790
4318,Angola,24,AGO,38459
4395,Cameroon,120,CMR,29500
4472,Central African Republic,140,CAF,5421
4549,Chad,148,TCD,20728
4626,Congo,178,COG,6408
4703,Democratic Republic of the Congo,180,COD,111036
4780,Equatorial Guinea,226,GNQ,1915
4857,Gabon,266,GAB,2566
4934,Sao Tome and Principe,678,STP,238
5088,Algeria,12,DZA,47132
5165,Egypt,818,EGY,117498
5242,Libya,434,LBY,7420
5319,Morocco,504,MAR,38261
5396,Sudan,729,SDN,50849
5473,Tunisia,788,TUN,12314
5550,Western Sahara,732,ESH,596
5704,Botswana,72,BWA,2542
5781,Eswatini,748,SWZ,1249
5858,Lesotho,426,LSO,2350
5935,Namibia,516,NAM,3062
6012,South Africa,710,ZAF,64386
6166,Benin,204,BEN,14638
6243,Burkina Faso,854,BFA,23812
6320,Cabo Verde,132,CPV,526
6397,Côte d'Ivoire,384,CIV,32321
6474,Gambia,270,GMB,2791
6551,Ghana,288,GHA,34746
6628,Guinea,324,GIN,14928
6705,Guinea-Bissau,624,GNB,2225
6782,Liberia,430,LBR,5672
6859,Mali,466,MLI,24835
6936,Mauritania,478,MRT,5242
7013,Niger,562,NER,27472
7090,Nigeria,566,NGA,235088
7167,Saint Helena,654,SHN,5
7244,Senegal,686,SEN,18716
7321,Sierra Leone,694,SLE,8731
7398,Togo,768,TGO,9618
7629,Kazakhstan,398,KAZ,20721
7706,Kyrgyzstan,417,KGZ,7241
7783,Tajikistan,762,TJK,10690
7860,Turkmenistan,795,TKM,7558
7937,Uzbekistan,860,UZB,36713
8091,China,156,CHN,1417734
8168,"China, Hong Kong SAR",344,HKG,7397
8245,"China, Macao SAR",446,MAC,722
8322,"China, Taiwan Province of China",158,TWN,23164
8399,Dem. People's Republic of Korea,408,PRK,26537
8476,Japan,392,JPN,123435
8553,Mongolia,496,MNG,3497
8630,Republic of Korea,410,KOR,51697
8784,Afghanistan,4,AFG,43250
8861,Bangladesh,50,BGD,174617
8938,Bhutan,64,BTN,794
9015,India,356,IND,1457435
9092,Iran (Islamic Republic of),364,IRN,92021
9169,Maldives,462,MDV,529
9246,Nepal,524,NPL,29628
9323,Pakistan,586,PAK,253203
9400,Sri Lanka,144,LKA,23169
9554,Brunei Darussalam,96,BRN,465
9631,Cambodia,116,KHM,17745
9708,Indonesia,360,IDN,284622
9785,Lao People's Democratic Republic,418,LAO,7822
9862,Malaysia,458,MYS,35771
9939,Myanmar,104,MMR,54680
10016,Philippines,608,PHL,116316
10093,Singapore,702,SGP,5852
10170,Thailand,764,THA,71647
10247,Timor-Leste,626,TLS,1410
10324,Viet Nam,704,VNM,101300
10478,Armenia,51,ARM,2963
10555,Azerbaijan,31,AZE,10368
10632,Bahrain,48,BHR,1626
10709,Cyprus,196,CYP,1365
10786,Georgia,268,GEO,3808
10863,Iraq,368,IRQ,46526
10940,Israel,376,ISR,9452
11017,Jordan,400,JOR,11575
11094,Kuwait,414,KWT,4985
11171,Lebanon,422,LBN,5826
11248,Oman,512,OMN,5398
11325,Qatar,634,QAT,3084
11402,Saudi Arabia,682,SAU,34264
11479,State of Palestine,275,PSE,5540
11556,Syrian Arab Republic,760,SYR,25171
11633,Türkiye,792,TUR,87576
11710,United Arab Emirates,784,ARE,11215
11787,Yemen,887,YEM,41179
12018,Belarus,112,BLR,9027
12095,Bulgaria,100,BGR,6737
12172,Czechia,203,CZE,10680
12249,Hungary,348,HUN,9663
12326,Poland,616,POL,38367
12403,Republic of Moldova,498,MDA,3017
12480,Romania,642,ROU,18962
12557,Russian Federation,643,RUS,144435
12634,Slovakia,703,SVK,5494
12711,Ukraine,804,UKR,38279
12865,Denmark,208,DNK,5991
12942,Estonia,233,EST,1354
13019,Faroe Islands,234,FRO,56
13096,Finland,246,FIN,5623
13173,Guernsey,831,GGY,64
13250,Iceland,352,ISL,396
13327,Ireland,372,IRL,5283
13404,Isle of Man,833,IMN,84
13481,Jersey,832,JEY,104
13558,Latvia,428,LVA,1864
13635,Lithuania,440,LTU,2851
13712,Norway,578,NOR,5604
13789,Sweden,752,SWE,10633
13866,United Kingdom,826,GBR,69353
14020,Albania,8,ALB,2782
14097,Andorra,20,AND,82
14174,Bosnia and Herzegovina,70,BIH,3153
14251,Croatia,191,HRV,3861
14328,Gibraltar,292,GIB,40
14405,Greece,300,GRC,9959
14482,Holy See,336,VAT,1
14559,Italy,380,ITA,59251
14636,Kosovo (under UNSC res. 1244),412,XKX,1679
14713,Malta,470,MLT,543
14790,Montenegro,499,MNE,638
14867,North Macedonia,807,MKD,1819
14944,Portugal,620,PRT,10420
15021,San Marino,674,SMR,34
15098,Serbia,688,SRB,6714
15175,Slovenia,705,SVN,2118
15252,Spain,724,ESP,47905
15406,Austria,40,AUT,9117
15483,Belgium,56,BEL,11750
15560,France,250,FRA,66601
15637,Germany,276,DEU,84409
15714,Liechtenstein,438,LIE,40
15791,Luxembourg,442,LUX,677
15868,Monaco,492,MCO,38
15945,Netherlands,528,NLD,18292
16022,Switzerland,756,CHE,8946
16254,Anguilla,660,AIA,15
16331,Antigua and Barbuda,28,ATG,94
16408,Aruba,533,ABW,108
16485,Bahamas,44,BHS,402
16562,Barbados,52,BRB,283
16639,"Bonaire, Sint Eustatius and Saba",535,BES,31
16716,British Virgin Islands,92,VGB,40
16793,Cayman Islands,136,CYM,75
16870,Cuba,192,CUB,10959
16947,Curaçao,531,CUW,186
17024,Dominica,212,DMA,66
17101,Dominican Republic,214,DOM,11475
17178,Grenada,308,GRD,117
17255,Guadeloupe,312,GLP,374
17332,Haiti,332,HTI,11840
17409,Jamaica,388,JAM,2839
17486,Martinique,474,MTQ,342
17563,Montserrat,500,MSR,4
17640,Puerto Rico,630,PRI,3240
17717,Saint Barthélemy,652,BLM,11
17794,Saint Kitts and Nevis,659,KNA,47
17871,Saint Lucia,662,LCA,180
17948,Saint Martin (French part),663,MAF,25
18025,Saint Vincent and the Grenadines,670,VCT,100
18102,Sint Maarten (Dutch part),534,SXM,44
18179,Trinidad and Tobago,780,TTO,1510
18256,Turks and Caicos Islands,796,TCA,47
18333,United States Virgin Islands,850,VIR,85
18487,Belize,84,BLZ,420
18564,Costa Rica,188,CRI,5142
18641,El Salvador,222,SLV,6352
18718,Guatemala,320,GTM,18548
18795,Honduras,340,HND,10916
18872,Mexico,484,MEX,131414
18949,Nicaragua,558,NIC,6962
19026,Panama,591,PAN,4544
19180,Argentina,32,ARG,45775
19257,Bolivia (Plurinational State of),68,BOL,12498
19334,Brazil,76,BRA,212423
19411,Chile,152,CHL,19815
19488,Colombia,170,COL,53163
19565,Ecuador,218,ECU,18213
19642,Falkland Islands (Malvinas),238,FLK,3
19719,French Guiana,254,GUF,311
19796,Guyana,328,GUY,834
19873,Paraguay,600,PRY,6972
19950,Peru,604,PER,34401
20027,Suriname,740,SUR,637
20104,Uruguay,858,URY,3386
20181,Venezuela (Bolivarian Republic of),862,VEN,28460
20335,Bermuda,60,BMU,65
20412,Canada,124,CAN,39946
20489,Greenland,304,GRL,56
20566,Saint Pierre and Miquelon,666,SPM,6
20643,United States of America,840,USA,346374
20874,Australia,36,AUS,26845
20951,New Zealand,554,NZL,5234
21105,Fiji,242,FJI,931
21182,New Caledonia,540,NCL,294
21259,Papua New Guinea,598,PNG,10670
21336,Solomon Islands,90,SLB,829
21413,Vanuatu,548,VUT,331
21567,Guam,316,GUM,168
21644,Kiribati,296,KIR,136
21721,Marshall Islands,584,MHL,37
21798,Micronesia (Fed. States of),583,FSM,113
21875,Nauru,520,NRU,12
21952,Northern Mariana Islands,580,MNP,44
22029,Palau,585,PLW,18
22183,American Samoa,16,ASM,46
22260,Cook Islands,184,COK,13
22337,French Polynesia,258,PYF,282
22414,Niue,570,NIU,2
22491,Samoa,882,WSM,219
22568,Tokelau,772,TKL,3
22645,Tonga,776,TON,104
22722,Tuvalu,798,TUV,10
22799,Wallis and Futuna Islands,876,WLF,11